sku_id,product_name,category,color,size,supplier_id,cost_price,mrp,units_purchased,units_sold_total,units_on_hand,stock_remaining_pct,sell_through_rate,last_sale_date,days_since_last_sale,velocity_overall,units_sold_last_4w,weeks_of_stock,bleed_score,margin_at_risk,status,top_channel,action,recommended_discount_pct,reason,markdown_price,projected_recovery,est_revenue_if_actioned,urgency_rank
SKU-0489,Ikat Palazzo (Silk blend),Palazzo,Mauve,XS,SUP-004,226,603,122,2,120,0.984,0.016,2024-06-08,176,0.08,0.0,999.0,173.18,45240,Critical,Store - Koramangala,Urgent markdown,25,No sale in 176 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,452,30763,43392,1
SKU-0416,Block print Dress (Mul mul),Dress,Charcoal,S,SUP-007,605,1570,114,2,112,0.982,0.018,2024-06-14,170,0.08,0.0,999.0,166.94,108080,Critical,Online - Instagram,Urgent markdown,30,No sale in 170 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,1099,73494,98470,1
SKU-0426,Ikat Dress (Chanderi),Dress,Terracotta,XXL,SUP-001,443,1640,113,2,111,0.982,0.018,2024-06-18,166,0.08,0.0,999.0,163.01,132867,Critical,Online - Nykaa,Urgent markdown,30,No sale in 166 days with 98% stock remaining. Margin eroding rapidly. Act before season ends.,1148,90350,101942,1
SKU-0373,Bandhani Dress (Georgette),Dress,Charcoal,S,SUP-009,532,1431,103,1,102,0.99,0.01,2024-07-19,135,0.05,0.0,999.0,133.65,91698,Critical,Online - Website,Urgent markdown,30,No sale in 135 days with 99% stock remaining. Margin eroding rapidly. Act before season ends.,1002,62355,81763,1
SKU-0321,Shibori Dupatta (Rayon),Dupatta,Ochre,L,SUP-009,199,749,74,0,74,1.0,0.0,2024-08-04,119,0.0,0.0,999.0,119.0,40700,Critical,,Urgent markdown,25,No sale in 119 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,562,27676,33270,1
SKU-0119,Block print Kurta (Cotton),Kurta,Ivory,XS,SUP-007,372,1524,95,5,90,0.947,0.053,2024-07-30,124,0.22,0.0,999.0,117.43,103680,Critical,Store - MG Road,Urgent markdown,30,No sale in 124 days with 95% stock remaining. Margin eroding rapidly. Act before season ends.,1067,70502,76824,1
SKU-0290,Shibori Coord Set (Chanderi),Coord Set,Indigo,M,SUP-001,635,1759,65,4,61,0.938,0.062,2024-07-30,124,0.17,0.0,999.0,116.31,68564,Critical,Online - Nykaa,Urgent markdown,35,No sale in 124 days with 94% stock remaining. Margin eroding rapidly. Act before season ends.,1143,46624,55778,1
SKU-0230,Ajrakh Coord Set (Chanderi),Coord Set,Ivory,S,SUP-008,618,2641,76,8,68,0.895,0.105,2024-07-26,128,0.33,0.0,999.0,114.56,137564,Critical,Online - Website,Urgent markdown,35,No sale in 128 days with 90% stock remaining. Margin eroding rapidly. Act before season ends.,1717,93544,93405,1
SKU-0363,Block print Dupatta (Georgette),Dupatta,Ochre,XXL,SUP-006,210,788,54,2,52,0.963,0.037,2024-08-05,118,0.12,0.0,999.0,113.63,30056,Critical,Store - Koramangala,Urgent markdown,25,No sale in 118 days with 96% stock remaining. Margin eroding rapidly. Act before season ends.,591,20438,24586,1
SKU-0063,Shibori Kurta (Linen),Kurta,Ivory,XS,SUP-004,362,1228,141,0,141,1.0,0.0,2024-08-11,112,0.0,0.0,999.0,112.0,122106,Critical,,Urgent markdown,30,No sale in 112 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,860,83032,97008,1
SKU-0135,Mirror work Saree (Linen),Saree,Blush pink,XS,SUP-007,1648,5632,30,4,26,0.867,0.133,2024-08-03,120,0.17,0.0,999.0,104.04,103584,Critical,Online - Website,Urgent markdown,35,No sale in 120 days with 87% stock remaining. Margin eroding rapidly. Act before season ends.,3661,70437,76149,1
SKU-0332,Bagru print Dupatta (Rayon),Dupatta,Ochre,L,SUP-009,235,563,69,8,61,0.884,0.116,2024-08-06,117,0.36,0.0,999.0,103.43,20008,Critical,Online - Instagram,Urgent markdown,25,No sale in 117 days with 88% stock remaining. Margin eroding rapidly. Act before season ends.,422,13605,20594,1
SKU-0166,Ajrakh Saree (Cotton),Saree,Terracotta,L,SUP-002,1781,3120,84,3,81,0.964,0.036,2024-08-20,103,0.14,0.0,999.0,99.29,108459,Critical,Store - MG Road,Urgent markdown,35,No sale in 103 days with 96% stock remaining. Margin eroding rapidly. Act before season ends.,2028,73752,131414,1
SKU-0444,Mirror work Dress (Mul mul),Dress,Charcoal,XL,SUP-010,606,1853,65,0,65,1.0,0.0,2024-08-24,99,0.0,0.0,999.0,99.0,81055,Critical,,Urgent markdown,30,No sale in 99 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,1297,55117,67444,1
SKU-0121,Ikat Saree (Rayon),Saree,Ochre,XS,SUP-001,1353,4235,130,5,125,0.962,0.038,2024-08-23,100,0.21,0.0,999.0,96.2,360250,Critical,Store - MG Road,Urgent markdown,35,No sale in 100 days with 96% stock remaining. Margin eroding rapidly. Act before season ends.,2753,244970,275300,1
SKU-0493,Chikankari Palazzo (Chanderi),Palazzo,Indigo,XXL,SUP-003,274,1077,65,0,65,1.0,0.0,2024-08-28,95,0.0,0.0,999.0,95.0,52195,Critical,,Urgent markdown,25,No sale in 95 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,808,35493,42016,1
SKU-0327,Bagru print Dupatta (Rayon),Dupatta,Indigo,L,SUP-010,205,638,72,0,72,1.0,0.0,2024-08-29,94,0.0,0.0,999.0,94.0,31176,Critical,,Urgent markdown,25,No sale in 94 days with 100% stock remaining. Margin eroding rapidly. Act before season ends.,478,21200,27533,1
SKU-0252,Bandhani Coord Set (Mul mul),Coord Set,Teal,M,SUP-010,649,2204,102,9,93,0.912,0.088,2024-08-21,102,0.4,0.0,999.0,93.02,144615,Critical,Store - Koramangala,Urgent markdown,35,No sale in 102 days with 91% stock remaining. Margin eroding rapidly. Act before season ends.,1433,98338,106615,1
